1000 1000
0 1 100000
1 2 100000
2 3 100000
3 4 100000
4 5 100000
5 6 100000
6 7 100000
7 8 100000
8 9 100000
9 10 100000
10 11 100000
11 12 100000
12 13 100000
13 14 100000
14 15 100000
15 16 100000
16 17 100000
17 18 100000
18 19 100000
19 20 100000
20 21 100000
21 22 100000
22 23 100000
23 24 100000
24 25 100000
25 26 100000
26 27 100000
27 28 100000
28 29 100000
29 30 100000
30 31 100000
31 32 100000
32 33 100000
33 34 100000
34 35 100000
35 36 100000
36 37 100000
37 38 100000
38 39 100000
39 40 100000
40 41 100000
41 42 100000
42 43 100000
43 44 100000
44 45 100000
45 46 100000
46 47 100000
47 48 100000
48 49 100000
49 50 100000
50 51 100000
51 52 100000
52 53 100000
53 54 100000
54 55 100000
55 56 100000
56 57 100000
57 58 100000
58 59 100000
59 60 100000
60 61 100000
61 62 100000
62 63 100000
63 64 100000
64 65 100000
65 66 100000
66 67 100000
67 68 100000
68 69 100000
69 70 100000
70 71 100000
71 72 100000
72 73 100000
73 74 100000
74 75 100000
75 76 100000
76 77 100000
77 78 100000
78 79 100000
79 80 100000
80 81 100000
81 82 100000
82 83 100000
83 84 100000
84 85 100000
85 86 100000
86 87 100000
87 88 100000
88 89 100000
89 90 100000
90 91 100000
91 92 100000
92 93 100000
93 94 100000
94 95 100000
95 96 100000
96 97 100000
97 98 100000
98 99 100000
99 100 100000
100 101 100000
101 102 100000
102 103 100000
103 104 100000
104 105 100000
105 106 100000
106 107 100000
107 108 100000
108 109 100000
109 110 100000
110 111 100000
111 112 100000
112 113 100000
113 114 100000
114 115 100000
115 116 100000
116 117 100000
117 118 100000
118 119 100000
119 120 100000
120 121 100000
121 122 100000
122 123 100000
123 124 100000
124 125 100000
125 126 100000
126 127 100000
127 128 100000
128 129 100000
129 130 100000
130 131 100000
131 132 100000
132 133 100000
133 134 100000
134 135 100000
135 136 100000
136 137 100000
137 138 100000
138 139 100000
139 140 100000
140 141 100000
141 142 100000
142 143 100000
143 144 100000
144 145 100000
145 146 100000
146 147 100000
147 148 100000
148 149 100000
149 150 100000
150 151 100000
151 152 100000
152 153 100000
153 154 100000
